id	length	trigger_refs	text
1	15	0	[미궁] A to Z
2	161	0	Map. RnRkRb\r\n\r\nQuestion.\r\nAftershock.　Leeroy_Jenkins　Teru-　Tic_Tac_Toc　-WaterDog-　Winterest　wnsrlqkq\r\n\r\n컴퓨터 자리 금지\r\n방제 배속 금지
3	16	0	Artanis & safhfh
4	6	0	Player
5	22	0	cafe.naver.com/quizfam
6	7	0	Force 3
7	7	0	Force 4
8	48	0	<13><1E>배속 플레이는 금지하고 있습니다.
9	8	0	M0_0.ogg
10	8	0	M0_1.ogg
11	8	0	M0_2.ogg
12	8	0	M0_3.ogg
13	8	0	M0_4.ogg
14	8	0	M0_5.ogg
15	8	0	M0_6.ogg
16	8	0	M0_7.ogg
17	8	0	M0_8.ogg
18	8	0	M0_9.ogg
19	9	0	M0_10.ogg
20	9	0	M0_11.ogg
21	9	0	M0_12.ogg
22	9	0	M0_13.ogg
23	9	0	M0_14.ogg
24	9	0	M0_15.ogg
25	9	0	M0_16.ogg
26	9	0	M0_17.ogg
27	9	0	M0_18.ogg
28	9	0	M0_19.ogg
29	9	0	M0_20.ogg
30	9	0	M0_21.ogg
31	9	0	M0_22.ogg
32	9	0	M0_23.ogg
33	9	0	M0_24.ogg
34	9	0	M0_25.ogg
35	9	0	M0_26.ogg
36	9	0	M0_27.ogg
37	9	0	M0_28.ogg
38	9	0	M0_29.ogg
39	9	0	M0_30.ogg
40	9	0	M0_31.ogg
41	9	0	M0_32.ogg
42	9	0	M0_33.ogg
43	9	0	M0_34.ogg
44	9	0	M0_35.ogg
45	25	0	staredit\wav\NextPage.wav
46	29	0	staredit\wav\ButtonCursor.wav
47	28	0	staredit\wav\ButtonClick.wav
48	24	0	staredit\wav\Correct.wav
49	6	0	<1F>Teru-
50	9	0	<16>wnsrlqkq
51	15	0	<15>Leeroy_Jenkins
52	11	0	<0F>-WaterDog-
53	12	0	<08>Tic_Tac_Toc
54	12	0	<1C>Aftershock.
55	10	0	<04>Winterest
56	10	0	<15>GoMyamMii
57	7	0	<17>RnRkRb
58	9	0	M0_36.ogg
59	9	0	M0_37.ogg
60	9	0	M0_38.ogg
61	9	0	M0_39.ogg
62	9	0	M0_40.ogg
63	9	0	M0_41.ogg
64	9	0	M0_42.ogg
65	9	0	M0_43.ogg
66	9	0	M0_44.ogg
67	9	0	M0_45.ogg
68	9	0	M0_46.ogg
69	9	0	M0_47.ogg
70	9	0	M0_48.ogg
71	9	0	M0_49.ogg
72	9	0	M0_50.ogg
73	9	0	M0_51.ogg
74	9	0	M0_52.ogg
75	9	0	M0_53.ogg
76	9	0	M0_54.ogg
77	9	0	M0_55.ogg
78	9	0	M0_56.ogg
79	9	0	M0_57.ogg
80	9	0	M0_58.ogg
81	9	0	M0_59.ogg
82	9	0	M0_60.ogg
83	9	0	M0_61.ogg
84	9	0	M0_62.ogg
85	9	0	M0_63.ogg
86	9	0	M0_64.ogg
87	9	0	M0_65.ogg
88	8	0	M1_0.ogg
89	8	0	M1_1.ogg
90	8	0	M1_2.ogg
91	8	0	M1_3.ogg
92	8	0	M1_4.ogg
93	8	0	M1_5.ogg
94	8	0	M1_6.ogg
95	8	0	M1_7.ogg
96	8	0	M1_8.ogg
97	8	0	M1_9.ogg
98	9	0	M1_10.ogg
99	9	0	M1_11.ogg
100	9	0	M1_12.ogg
101	9	0	M1_13.ogg
102	9	0	M1_14.ogg
103	9	0	M1_15.ogg
104	9	0	M1_16.ogg
105	9	0	M1_17.ogg
106	9	0	M1_18.ogg
107	9	0	M1_19.ogg
108	9	0	M1_20.ogg
109	9	0	M1_21.ogg
110	9	0	M1_22.ogg
111	9	0	M1_23.ogg
112	9	0	M1_24.ogg
113	9	0	M1_25.ogg
114	9	0	M1_26.ogg
115	9	0	M1_27.ogg
116	9	0	M1_28.ogg
117	9	0	M1_29.ogg
118	9	0	M1_30.ogg
119	9	0	M1_31.ogg
120	9	0	M1_32.ogg
121	9	0	M1_33.ogg
122	9	0	M1_34.ogg
123	9	0	M1_35.ogg
124	9	0	M1_36.ogg
125	9	0	M1_37.ogg
126	9	0	M1_38.ogg
